"Source","Name","Type","Target","Formula","Multiplier","Element","Time","Effects","Counter","Auto Target","SB","School","ID"
"Lightning Sigil Follow-Up","Lightning Sigil","BLK","Single enemy","Magical","8.52","Lightning, NE","0.01","2/3/4/5/6 single attacks (1.42 each) at rank 1/2/3/4/5 of the triggering ability","Y","Lowest HP% enemy","0","Black Magic","30541032"
"Cure Step Follow-Up","Cure Step","WHT","All allies","Magical","2.00","Holy","0.01","Restores HP (25), damages undeads","N","All allies","0","Dancer","30549041"
"Sephira Follow-Up","Sephira","NAT","Single enemy","Hybrid","-","Dark, NE","0.01","Five single hybrid ranged attacks (0.40 or 1.67 each), 100% hit rate","Y","Lowest HP% enemy","0","Darkness","30549062"
"Stratagem of a Genius Follow-Up","Scintillating Potion","NAT","All allies","","","","0.01","Restores 1000 HP, removes negative effects","Y","All allies","0","White Magic","30542020"
"Wrathful Thunder Follow-Up","Lightning Slash","BLK","Single enemy","Magical","16.40","Lightning, NE","0.01","One single attack (16.40) capped at 99999","Y","Lowest HP% enemy","0","Black Magic","30541039"
"Blast & Run Follow-Up","Blast & Run","NAT","Single enemy","","","","0.01","Causes [Imperil Wind 10% (15s)], grants [Buff Wind 10% (15s)] to the user","Y","Lowest HP% enemy","0","Thief","30548430"
"Viera Shot Follow-Up","Viera Shot","PHY","Single enemy","Physical","2.00","Ice, Lightning, NE","0.01","Four single ranged attacks (0.50 each), causes [DEF, RES and MND -70%] for 8 seconds, removes positive effects","Y","Lowest HP% enemy","0","Sharpshooter","30549177"
"Awoken Potion","Custom Potion","NAT","All allies","","","","0.01","Restores 1500 HP, removes negative effects","N","All allies","0","White Magic","30542717"
"Thunderous Squall Follow-Up","Thunderous Squall","BLK","Single enemy","Magical","16.40","Lightning, NE","0.01","One single attack (16.40) capped at 99999","Y","Lowest HP% enemy","0","Black Magic","30541134"
"Awoken Judge","Echoes of Sin","PHY","Single enemy","Physical","4.32","Dark, NE","0.01","Six single attacks (0.72 each), 100% hit rate, grants [Heavy Charge +1] to the user","Y","Lowest HP% enemy","0","Heavy","30549768"
"Scorching Shot Follow-Up","Scorching Shot","PHY","Single enemy","Physical","4.02","Fire, NE","0.01","Six single ranged attacks (0.67 each)","Y","Lowest HP% enemy","0","Machinist","30549252"
"Breaker Knight Follow-Up","Destructive Slash","PHY","Single enemy","Physical","1.44","Holy, Fire, Dark, NE","0.01","One single ranged attack (1.44), causes [DEF, RES and MND -70% (8s)], grants [40% Damage Reduction Barrier 1] to all allies, 100% hit rate","Y","Lowest HP% enemy","0","Knight","30548541"
"Awoken Viera Warrior","Eruyt Feat","PHY","Single enemy","Physical","4.26","Ice, Lightning, NE","0.01","Six single ranged attacks (0.71 each)","Y","Lowest HP% enemy","0","Sharpshooter","31540061"
"Flowing Mist Follow-Up","Flowing Mist (Ice)","NAT","Single enemy","","","","0.01","Causes [Imperil Ice 10% (15s)], grants [Attach Ice] and [Buff Ice 10% (15s)] to the user","N","Lowest HP% enemy","0","Sharpshooter","31540059"
"Flowing Mist Follow-Up","Flowing Mist (Lightning)","NAT","Single enemy","","","","0.01","Causes [Imperil Lightning 10% (15s)], grants [Attach Lightning] and [Buff Lightning 10% (15s)] to the user","N","Lowest HP% enemy","0","Sharpshooter","31540060"
"Mist Charge Mode","North Star Bolt","BLK","Single enemy","Magical","36.00","Lightning, NE","0.01","4/10/10 single attacks (2.30 each) if user dealt 0/72001/240001 damage during the status, removes [Mist Charge Mode] from the user. Additional one single attack (13.00) capped at 99999 if the final damage threshold was met","Y","Lowest HP% enemy","0","Black Magic","31540227"
"Raid Arc Follow-Up","Raid Arc","PHY","Single enemy","Physical","3.96","Ice, Lightning, NE","0.01","Six single ranged attacks (0.66 each), causes [DEF, RES and MND -70% (8s)]","Y","Lowest HP% enemy","0","Sharpshooter","31540327"
"Onslaught Chaser Follow-Up","Onslaught Chaser","PHY","Single enemy","Physical","2.01","Fire, NE","0.01","Three single ranged attacks (0.67 each), grants [Buff Fire 10% (15s)] to all allies every second cast","Y","Lowest HP% enemy","0","Machinist","31540451"
"Holy Bladefire Follow-Up","Holy Bladefire","PHY","Single enemy","Physical","6.06","Holy, Fire, NE","0.01","Six single attacks (1.01 each), grants [Stoneskin: 30%] to all allies, damages the user for 35% current HP","Y","Lowest HP% enemy","0","Knight","31540577"
"Scheming Statesman Mode","Evil Sephira","NAT","Single enemy","Hybrid","-","Dark, NE","0.01","Five single ranged hybrid attacks (5.34 or 22.03 each), ignores DEF and RES, removes [Scheming Statesman Mode] from the user","Y","Lowest HP% enemy","0","Darkness","31540600"
"Awoken Ambition","Statesman's Gambit","NAT","Single enemy","Hybrid","-","Dark, NE","0.01","Six single ranged hybrid attacks (0.72 or 2.44 each), 100% hit rate, grants [Buff Dark 10% (15s)] to all allies every second activation","Y","Lowest HP% enemy","0","Darkness","31540605"
"Dual Awoken Lightning Mode I (Ashe)","Dual Thundering Heavens","BLK","Single enemy","Magical","17.40","Lightning, NE","0.01","Six single attacks (2.63 each), 2.90 if exploiting Lightning weakness, grants [Lightning Quick Cast 1] to the user","Y","Lowest HP% enemy","0","Black Magic","31541456"
"Winsome Maiden Mode","Gift of Kindness","WHT","Single enemy","Magical","-","","0.01","Deals 99999 WHT damage, grants [HP Stock (2000)] to the lowest HP% ally, grants [Quick Cast 1] to all allies if 4+ FF12 allies are alive","Y","Lowest HP% enemy","0","Dancer","31541463"
"Dual Awoken Lightning Mode II (Reks)","Dual Dalmascan Mind","NAT","Single enemy","","","","0.01","Causes [Imperil Prismatic 10% (15s)]/[Imperil Prismatic 20% (15s)] if 0-3/4+ FF12 allies are alive, grants [ATK, DEF, MAG and RES +15% (8s)] to all allies if 4+ FF12 allies are alive","Y","Lowest HP% enemy","0","Spellblade","31541467"
"Dual Awoken Dark Mode I (Gabranth)","Dual Time of Grudge","PHY","Single enemy","Physical","1.76","Dark, NE","0.01","One single attack (1.76) capped at 99999, 100% hit rate, grants [Dark Ability Quick Cast 2] if the user has Heavy Charge 2, causes [Imperil Dark 10% (15s)] if the user has Heavy Charge 0-1","Y","Lowest HP% enemy","0","Heavy","31541695"
"Dual Awoken Darkness Mode I (Vayne)","Dual Dark Strategy","NAT","Single enemy","Hybrid","-","Dark, NE","0.01","One single ranged hybrid attack (4.45 or 18.64), ignores DEF and RES","Y","Lowest HP% enemy","0","Darkness","31541693"
"Need for Speed Follow-Up","Need for Speed","PHY","Single enemy","Physical","2.00","Fire, NE","0.01","Four single ranged attacks (0.50 each), 100% hit rate, grants [Quick Cast 1] to all allies in the character's row","Y","Lowest HP% enemy","0","Machinist","31542029"
"Chain Force Mode (Balthier)","Flame Guidance: Balthier","PHY","Single enemy","Physical","1.28","Fire, NE","0.01","Four single ranged attacks (0.32 each)","Y","Lowest HP% enemy","0","Machinist","31542020"
"EX: Knight of Etro","Divine Edge 1","PHY","Single enemy","Physical","0.30","Holy, Lightning, NE","0.01","One single attack (0.30), 100% hit rate","Y","Lowest HP% enemy","0","Knight","30548342"
"EX: Knight of Etro","Divine Edge 2","PHY","Single enemy","Physical","1.50","Holy, Lightning, NE","0.01","Five single attacks (0.30 each), 100% hit rate","Y","Lowest HP% enemy","0","Knight","30548343"
"EX: Knight of Etro","Divine Edge 3","PHY","Single enemy","Physical","4.50","Holy, Lightning, NE","0.01","Fifteen single attacks (0.30 each), 100% hit rate","Y","Lowest HP% enemy","0","Knight","30548344"
"Wind Fang Follow-Up","Wind Fang","PHY","Single enemy","Physical","2.00","Wind, NE","0.01","Five single ranged attacks (0.40 each), 30/50/75% additional critical chance scaling with uses, 100% hit rate","Y","Lowest HP% enemy","0","Dragoon","30548114"
"Seraph-Wing Buffet Follow-Up","Seraph-Wing Buffet","BLK","Single enemy","Magical","8.64","Holy, Dark","0.01","Four single attacks (2.16 each)","Y","Lowest HP% enemy","0","Black Magic","30541176"
"EX: Farseer's Guardian","Javelin Frost","PHY","Single enemy","Physical","2.00","Ice, NE","0.01","Five single ranged attacks (0.40 each), 100% hit rate","Y","Lowest HP% enemy","0","Combat","30544071"
"Lightning Strikes Follow-Up","Lightning Strikes","PHY","Single enemy","Physical","6.40","Lightning, NE","0.01","5/10/20 single ranged attacks (0.32 each) if the user used 2/4/6 Lightning attacks during the status","Y","Lowest HP% enemy","0","Celerity","30546016"
"Mortal Wings Follow-Up","Mortal Wings","BLK","Single enemy","Magical","15.70","Dark, Holy, NE","0.01","Five single attacks (1.57 each), ten attacks if the user has any Doom","Y","Lowest HP% enemy","0","Darkness","30541571"
"Awoken Empath","Selfless Prayer","WHT","All allies","","","","0.01","Restores HP (25)","Y","All allies","0","White Magic","30542811"
"Rain Arrow Follow-Up","Rain Arrow","BLK","Single enemy","Magical","7.92","Water, NE","0.01","Six single attacks (1.32 each)","Y","Lowest HP% enemy","0","Black Magic","30541161"
"Azure Arrow Follow-Up","Azure Arrow","BLK","Single enemy","Magical","20.10","Ice, Water, NE","0.01","Ten single attacks (2.01 each)","Y","Lowest HP% enemy","0","Black Magic","30541325"
"Sunleth Strike Follow-Up","Sunleth Strike (Sharpshooter/Thief)","PHY","Single enemy","Physical","0.80","Water, NE","0.01","Two single ranged attacks (0.40 each), 100% hit rate, grants [Buff Water 10% (15s)] to the user","Y","Lowest HP% enemy","0","Dragoon","30548314"
"Sunleth Strike Follow-Up","Sunleth Strike (Dragoon)","PHY","Single enemy","Physical","0.80","Water, NE","0.01","Two single ranged attacks (0.40 each), 100% hit rate, grants [No Air Time 1] and [Dragoon +30% Boost 1] to the user","Y","Lowest HP% enemy","0","Dragoon","30548315"
"Crystal Tears Mode","Apocalyptic Dream","BLK","Single enemy","Magical","18.64","Water, NE","0.01","One single attack (18.64), ignores RES, grants [Farseer's Awakening Mode] to the user","Y","Lowest HP% enemy","0","Black Magic","31540758"
"Farseer's Awakening Mode","Etro's Intervention","BLK","Single enemy","Magical","18.64","Water, NE","0.01","One single attack (18.64), ignores RES","Y","Lowest HP% enemy","0","Black Magic","31540757"
"Unwavering Justice Follow-Up","Unwavering Justice","SUM","Single enemy","Magical","22.00","Holy, NE","0.01","One single attack (22.00) capped at 99999, grants [Instant Cast 1] to the user","N","Lowest HP% enemy","0","Summoning","30543283"
"Hour of Execution Follow-Up","Hour of Execution","BLK","Single enemy","Magical","12.60","Dark, NE","0.01","Three single attacks (4.20 each), grants [Buff Dark 10% (15s)] to all allies","Y","Lowest HP% enemy","0","Darkness","30549967"
"Resourceful Strike Follow-Up","Resourceful Strike","BLK","Single enemy","Magical","15.80","Dark, NE","0.01","Four single attacks (3.80 each), causes [DEF, RES and MND -70%] for 8 seconds, removes positive effects","Y","Lowest HP% enemy","0","Darkness","30541672"
"Exertion Mode","Tether's End","PHY","Single enemy","Physical","5.44","Fire, Ice, Lightning, NE","0.01","Seventeen single ranged attacks (0.32 each), removes [Exertion Mode], 100% hit rate","Y","Lowest HP% enemy","0","Machinist","30549254"
"Bye Bye! Follow-Up","Bye Bye!","PHY","Single enemy","Physical","1.92","Fire, NE","0.01","Six single ranged attacks (0.32 each), grants [Physical High Quick Cast 1] to all allies in the front row, 100% hit rate","Y","Lowest HP% enemy","0","Machinist","30549256"
"Avenging Fist Follow-Up","Avenging Fist","PHY","Single enemy","Physical","2.00","Ice, NE","0.01","Four single attacks (0.50 each), 100% additional critical chance, 100% hit rate","Y","Lowest HP% enemy","0","Monk","30548527"
"Revived Storyteller's Spirit Mode","Revived Storyteller's Spirit","NAT","Self","","","","0.01","Grants [Instant ATB 1], [Instant Cast 1] and [White Magic Heals +30% Boost 1], removes [Revived Storyteller's Spirit Mode] from the user","N","Self","0","Special","31540235"
"Awoken Seraph","Cross Shift","BLK","Single enemy","Magical","14.46","Dark, Holy, NE","0.01","Six single attacks (2.41 each), grants [Buff Dark 10% (15s)] and [Buff Holy 10% (15s)] to the user every second use","Y","Lowest HP% enemy","0","Darkness","31540320"
"Chirpy Pilot Mode","Debilitating Shot","PHY","Single enemy","Physical","0.84","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison, NE","0.01","Two single ranged attacks (0.42 each), 100% hit rate, causes Imperil X 10% (5s) where the imperil element matches that of the elemental damage dealt by the triggering ability","Y","Lowest HP% enemy","0","Machinist","31540833"
"Awoken Judgment","Divine Sanction","SUM","Single enemy","Magical","14.65","Holy, NE","0.01","One single attack (4.48/7.05/9.50/12.07/14.65) capped at 19999/29999/39999/49999/59999 at rank 1/2/3/4/5 of the triggering ability","N","Lowest HP% enemy","0","Summoning","31541320"
"Dual Awoken Holy Mode I (Hope)","Dual Unwavering Justice","SUM","Single enemy","Magical","8.16","Holy, NE","0.01","Four single attacks (2.04 each), grants smart ether 1 and [Quick Cast 1] to the user every second cast","N","Lowest HP% enemy","0","Summoning","31541375"
"Dual Awoken Final Farseer Mode I (Noel)","Dual Cross Crush","PHY","Single enemy","Physical","5.34","Ice, Water, NE","0.01","Six single ranged attacks (0.89 each), 100% hit rate","Y","Lowest HP% enemy","0","Sharpshooter","31541392"
"Dual Awoken Final Farseer Mode II (Noel)","Dual Twice Down","PHY","Single enemy","Physical","1.78","Ice, Water, NE","0.01","Two single ranged attacks (0.89 each), causes [Imperil Ice 10% (15s)] and [Imperil Water 10% (15s)], causes [DEF -50% (8s)]/[RES -50% (8s)] every 1+2n/2+2n casts","Y","Lowest HP% enemy","0","Sharpshooter","31541393"
"Dual Awoken Dark Mode I (Nabaat)","Dual Black Gear","BLK","Single enemy","Magical","8.40","Dark, NE","0.01","Two single attacks (4.20 each), causes [Imperil Dark 10% (15s) every second use","Y","Lowest HP% enemy","0","Darkness","31541395"
"Gentle Maiden Mode","Oerba's Gift","WHT","Single enemy","Magical","-","","0.01","One single attack that deals 99999 damage, grants [Quick Cast 1] to all allies","Y","Lowest HP% enemy","0","White Magic","31541402"
"Awoken Sublime Thunder","Ascending Presence","PHY","Single enemy","Physical","4.26","Lightning, Holy, NE","0.01","Six single attacks (0.71 each), grants [Buff Lightning 10% (15s)] and [Buff Holy 10% (15s)] to the user every second use","Y","Lowest HP% enemy","0","Celerity","31541582"
"Dual Awoken Ice Mode II (Snow)","Dual Fortitude","NAT","All allies","","","","0.01","Grants [40% Damage Reduction Barrier 1], grants Dual Fortitude +1 (max 3) to the user","N","All allies","0","Special","31541588"
"Indomitable Resolve Mode","Dual Icebreaker Fist","PHY","Single enemy","Physical","7.45","Ice, NE","0.01","Four single attacks (0.75 each), followed by one single attack (4.45) that ignores DEF with 100% additional critical chance if the user has Dual Fortitude level 1+, causes Dual Fortitude -1 to the user","Y","Lowest HP% enemy","0","Monk","31541587"
"Dual Awoken Seraph Mode I (Cid Raines)","Dual Seraph Wing Attack","BLK","Single enemy","Magical","8.28","Dark, Holy, NE","0.01","Two single attacks (4.14 each), grants [Quick Cast 1] to the user, grants [Dark/Holy Ability +30% Boost 1] to the user if the user's Doom timer is below 20, causes [Doom Timer -1] to the user if the user's Doom timer is below 20","Y","Lowest HP% enemy","0","Darkness","31541757"
"Dual Awoken Farseer Mode I (Serah)","Dual Frost Arrow","BLK","Single enemy","Magical","16.62","Ice, NE","0.01","Six single attacks (2.77 each), grants [Quick Cast 1] to the user","Y","Lowest HP% enemy","0","Black Magic","31541860"
"Dual Awoken Farseer Mode II (Serah)","Dual Artemis Ray","BLK","Single enemy","Magical","12.24","Ice, NE","0.01","Four single attacks (3.06 each), causes [DEF, RES and MND -70% (8s)], grants [Quick Cast 1] to all allies in the character's row","Y","Lowest HP% enemy","0","Black Magic","31541861"
"Intensifying Firaga Follow-Up","Intensifying Firaga","BLK","Single enemy","Magical","5.04","Fire, NE","0.01","4/5/6/7/8 single attacks (1.26/1.30/1.34/1.38/1.42 each) scaling with uses","Y","Lowest HP% enemy","0","Black Magic","30541411"
"Icebrand Follow-Up","Icebrand","BLK","Single enemy","Magical","8.52","Ice, NE","0.01","2/3/4/5/6 single attacks (1.42 each) at rank 1/2/3/4/5 of the triggering ability","Y","Lowest HP% enemy","0","Black Magic","30541021"
"Cometeor Follow-Up","Cometeor","SUM","Single enemy","Magical","16.40","Wind, NE","0.01","One single attack (16.40) capped at 99999","N","Lowest HP% enemy","0","Summoning","30543058"
"Night's Prayer Follow-Up","Night's Prayer (Fire)","NAT","Single enemy","","","","0.01","Causes [Imperil Fire 10% (15s)], grants [Buff Fire 10% (15s)] to the user","Y","Lowest HP% enemy","0","Witch","30549183"
"Night's Prayer Follow-Up","Night's Prayer (Ice)","NAT","Single enemy","","","","0.01","Causes [Imperil Ice 10% (15s)], grants [Buff Ice 10% (15s)] to the user","Y","Lowest HP% enemy","0","Witch","30549184"
"Night's Prayer Follow-Up","Night's Prayer (Lightning)","NAT","Single enemy","","","","0.01","Causes [Imperil Lightning 10% (15s)], grants [Buff Lightning 10% (15s)] to the user","Y","Lowest HP% enemy","0","Witch","30549185"
"Night's Prayer Follow-Up","Night's Prayer (Dark)","NAT","Single enemy","","","","0.01","Causes [Imperil Dark 10% (15s)], grants [Buff Dark 10% (15s)] to the user","Y","Lowest HP% enemy","0","Witch","30549186"
"Ver Mode","Empowered Burst","BLK","Single enemy","Magical","16.20","Wind, Lightning, NE","0.01","Fifteen single attacks (1.05 each), grants Black Mana +1 to the user","Y","Lowest HP% enemy","0","Black Magic","30541555"
"Skybreaker's Might","Nidhogg Skybreaker","PHY","Single enemy","Physical","4.50","Wind, Dark","0.01","One single ranged attack (4.50) capped at 99999, 100% hit rate","Y","Lowest HP% enemy","0","Dragoon","31540209"
"Azure Dragoon Mode","Geirskogul","PHY","Single enemy","Physical","1.80","Wind, Dark, NE","0.01","Three single ranged attacks (0.60 each), grants [Damage Cap +10000 1] and [Crimson Dragoon Mode] to the user, removes [Azure Dragoon Mode] from the user","Y","Lowest HP% enemy","0","Dragoon","31540206"
"Crimson Dragoon Mode","Nastrond","PHY","Single enemy","Physical","1.95","Wind, Dark, NE","0.01","Five single ranged attacks (0.39 each), grants [Damage Cap +10000 1] to the user","Y","Lowest HP% enemy","0","Dragoon","31540207"
"Twin Destruction Follow-Up","Twin Destruction","NAT","Single enemy","Hybrid","-","Earth, Wind, Poison, NE","0.01","Two single hybrid attacks (4.45 or 18.36 each), ignores DEF and RES, 100% hit rate","Y","Lowest HP% enemy","0","Ninja","31540534"
"Armor Crush Combo Follow-Up","Armor Crush Combo","NAT","Single enemy","Hybrid","-","Earth, Wind, Poison, NE","0.01","4/6/8 single hybrid attacks (0.32 or 198.00 each) if the user has Physical Blink 0/1/2, 100% hit rate","Y","Lowest HP% enemy","0","Ninja","31540535"
"Deep Meditation Mode","Brotherhood","PHY","Single enemy","Physical","0.48","Fire, NE","0.01","One single attack (0.48), 100% hit rate, grants Chakra +1 to the user","Y","Lowest HP% enemy","0","Monk","31540524"
"Dual Awoken Ice Mode I (Ysayle)","Dual Glacial Power","SUM","Single enemy","Magical","8.40","Ice, NE","0.01","Two single attacks (4.20 each), grants [Buff Ice 10% (5s)] and smart ether 1 to the user","N","Lowest HP% enemy","0","Summoning","31541569"
"Dual Awoken Ice Mode II (Ysayle)","Dual Millenary Wisdom","NAT","Single enemy","","","","0.01","Causes [Imperil Ice 20% (15s)]","N","Lowest HP% enemy","0","Summoning","31541570"
"Dual Awoken Scion Red Mage Mode II (Alisaie)","Dual Enchanted Zwerchhau","BLK","Single enemy","Magical","","Wind, Lightning, NE","0.01","2/4 single attacks (3.02 each) if the user has Dual Black Mana level 0-1/2+, followed by one single attack (16.92) capped at 99999 if the user has Dual Black Mana level 3+","Y","Lowest HP% enemy","0","Black Magic","31541572"
"Dual Awoken Monk Mode I (Yda)","Dual Way of the Will","PHY","Single enemy","Physical","1.02","Fire, NE","0.01","One single attack (1.02), 100% hit rate, grants [40% Damage Reduction Barrier 1]/[HP Stock (2000)]/[Monk Quick Cast 3]/[Monk +30% Boost 2]/[Dualcast Monk 1] to all allies after 1+5n/2+5n/3+5n/4+5n/5+5n casts","Y","Lowest HP% enemy","0","Monk","31541851"
"EX: Future King","Warp Strike","PHY","Single enemy","Physical","2.00","-","0.01","Five single attacks (0.40 each), 100% hit rate","Y","Lowest HP% enemy","0","Combat","30544068"
"Dragon Boost Follow-Up","Dragon Boost","PHY","Single enemy","Physical","1.90","Lightning, Dark, NE","0.01","Five single ranged attacks (0.38 each), 100% hit rate","Y","Lowest HP% enemy","0","Dragoon","30548016"
"Break Arts Mode","Heavy Strike","PHY","Single enemy","Physical","1.56","Earth, NE","0.01","Three single attacks (0.52 each), 100% hit rate","Y","Lowest HP% enemy","0","Knight","30548442"
"Break Arts Mode","Heavy Strike+","PHY","Single enemy","Physical","2.60","Earth, NE","0.01","Five single attacks (0.52 each), 100% hit rate","Y","Lowest HP% enemy","0","Knight","30548443"
"Break Arts Mode","Heavy Strike++","PHY","Single enemy","Physical","2.60","Earth, NE","0.01","Five single attacks (0.52 each), 100% hit rate","Y","Lowest HP% enemy","0","Knight","30548444"
"Break Arts Mode","Orbital Edge","PHY","Single enemy","Physical","10.00","Earth, NE","0.01","Ten single attacks (0.50 each) and one single attack (5.00) capped at 99999, 100% hit rate","Y","Lowest HP% enemy","0","Knight","30548445"
"Lion Flash Follow-up","Lion Flash","PHY","Single enemy","Physical","2.00","Fire, NE","0.01","Five single attacks (0.40 each), 100% hit rate","Y","Lowest HP% enemy","0","Samurai","30549119"
"Thunder Barret Follow-Up","Thunder Barret 1","PHY","Single enemy","Physical","1.95","Lightning, NE","0.01","Five single ranged attacks (0.39 each), 100% hit rate","Y","Lowest HP% enemy","0","Machinist","30549155"
"Thunder Barret Follow-Up","Thunder Barret 2","PHY","Single enemy","Physical","1.95","Lightning, NE","0.01","Five single ranged attacks (0.39 each), 100% hit rate, causes [Imperil Lightning 10% (15s)]","Y","Lowest HP% enemy","0","Machinist","30549156"
"Awoken Water God","Oracle's Prayer","SUM","Single enemy","Magical","14.60","Water, Holy, NE","0.01","Five single attacks (2.72/2.77/2.82/2.87/2.92 each), restores HP (10/15/25/35/45) to all allies at rank 1/2/3/4/5 of the triggering ability","N","Lowest HP% enemy","0","Summoning","30542912"
"Tsunami (XV) Follow-Up","Tsunami (XV)","SUM","Single enemy","Magical","15.40","Water, Holy, NE","0.01","Ten single attacks (1.54 each)","N","Lowest HP% enemy","0","Summoning","30543260"
"Precise Guard Mode","Timely Counter","PHY","Single enemy","Physical","1.92","Earth, NE","0.01","Six single attacks (0.32 each)","Y","Lowest HP% enemy","0","Knight","30544464"
"Dark Phantom Mode","Destruction","NAT","Single enemy","","","","0.01","Causes [Imperil Dark 10% (15s)] and [Imperil Fire 10% (15s)], grants [Buff Fire 10% (15s)] and [Buff Dark 10% (15s)] to the user","N","Lowest HP% enemy","0","Darkness","31540160"
"Airborne Division Mode","General's Spear","PHY","Single enemy","Physical","5.28","Lightning, Dark, NE","0.01","One single ranged attack (5.28) capped at 99999, 100% hit rate, grants [Damage Cap +20000 3] and [100% Critical 3] to the user, removes [Airborne Division Mode] from the user","Y","Lowest HP% enemy","0","Dragoon","31540699"
"Seeker of Truth","Knight's Lightblade","PHY","Single enemy","Physical","1.56","Holy, NE","0.01","Four single attacks (0.39 each), 100% hit rate","Y","Lowest HP% enemy","0","Support","30545011"
"Divine Purge Follow-Up","Divine Purge","NAT","Single enemy","","","","0.01","Causes [Imperil Holy 10%] for 15 seconds","Y","Lowest HP% enemy","0","Knight","30548241"
"Hero-King Blade Follow-Up","Hero-King Blade","PHY","Single enemy","Physical","1.84","Holy, Fire, Light., Ice, NE","0.01","Four single attacks (0.46 each), 100% hit rate","Y","Lowest HP% enemy","0","Spellblade","30547081"
"EX: Princess of Destiny","Holy Vengeance","WHT","Single enemy","Magical","9.00","Holy, NE","0.01","Six single attacks (1.50 each)","Y","Lowest HP% enemy","0","White Magic","30542150"
"Everlasting Darkness Follow-Up","Everlasting Darkness","PHY","Single enemy","Physical","1.82","Dark, NE","0.01","Two single attacks (0.91 each), heals the user for 20% of the damage dealt","Y","Lowest HP% enemy","0","Darkness","30512124"
"Incandescent Sear Follow-Up","Incandescent Sear","NAT","Single enemy","","","","0.01","Causes [Imperil Holy 10%] for 15 seconds","Y","Lowest HP% enemy","0","Knight","30548441"
"Denial of Fate Follow-Up","Denial of Fate","NAT","Self","","","","0.01","Grants [Soul Break Gauge +250] and [Instant Cast 1], removes [Denial of Fate Follow-Up]","N","Self","0","Special","30545084"
"Drain Blade Follow-Up","Drain Blade 1","PHY","Single enemy","Physical","3.04","Dark, NE","0.01","Four single attacks (0.76 each), causes [ATK and MAG -50% (8s)], grants [ATK and MAG +50% (8s)] and [Physical High Quick Cast 2] to the user, 100% hit rate","Y","Lowest HP% enemy","0","Darkness","30544383"
"Drain Blade Follow-Up","Drain Blade 2","PHY","Single enemy","Physical","3.04","Dark, NE","0.01","Four single attacks (0.76 each), heals the user for 20% of the damage dealt, grants [Physical Quick Cast 2] to the user, 100% hit rate","Y","Lowest HP% enemy","0","Darkness","30544383"
"Drain Blade Follow-Up","Drain Blade 3","PHY","Single enemy","Physical","3.04","Dark, NE","0.01","Four single attacks (0.76 each), heals the user for 20% of the damage dealt","Y","Lowest HP% enemy","0","Darkness","30544383"
"Unyielding Flurry Follow-Up","Unyielding Flurry","PHY","Single enemy","Physical","8.90","Holy, Fire, Lightning, Ice, NE","0.01","Two single attacks (4.45 each), ignores DEF","Y","Lowest HP% enemy","0","Spellblade","31540430"
"Ferocious Blade Follow-Up","Ferocious Blade","PHY","Single enemy","Physical","1.95","Earth, Holy, NE","0.01","Five single attacks (0.39 each), causes [Debuff Lightning 10% (15s)], [Debuff Dark 10% (15s)], [Imperil Earth 10% (15s)] and [Imperil Holy 10% (15s)] every two uses","Y","Lowest HP% enemy","0","Knight","31540806"
"Awoken Clanmate","Trailing Combo","BLK","Single enemy","Magical","","","0.01","One single attack that deals 10000/20000/30000/40000/50000 damage at rank 1/2/3/4/5 of the triggering ability, grants [Quick Cast 1] to all allies","Y","Lowest HP% enemy","0","Black Magic","31540811"
"Ace Follow-Up","Ace Follow-Up","BLK","Single enemy","Magical","-","Fire, NE","0.01","Randomly deals one (74%), two (25%) or thirteen (1%) single attacks (0.55 each)","Y","Lowest HP% enemy","0","Black Magic","30511645"
"Top Card","Force (Type-0)","BLK","Single enemy","Magical","4.08","Fire, NE","0.01","Two single attacks (2.04 each), grants [High Quick Cast 2] to the user","Y","Lowest HP% enemy","0","Black Magic","30541510"
"Top Card","Charge (Type-0)","BLK","Single enemy","Magical","4.08","Fire, NE","0.01","Two single attacks (2.04 each), restores 1500 HP to all allies in the character's row","Y","Lowest HP% enemy","0","Black Magic","30541511"
"Top Card","Burst (Type-0)","BLK","Single enemy","Magical","16.32","Fire, NE","0.01","Eight single attacks (2.04 each)","Y","Lowest HP% enemy","0","Black Magic","30541514"
"Cure Melody Follow-Up","Cure Melody","WHT","All allies","","2.00","Holy","0.01","Restores HP (25) to all allies","Y","All allies","0","White Magic","30542410"
"Wild Lance Follow-Up","Wild Lance","PHY","Single enemy","Physical","1.20","Wind, NE","0.01","One single ranged attack (1.20), 35% chance to cause [Imperil Wind 10%] for 15 seconds","Y","Lowest HP% enemy","0","Dragoon","30548014"
"Assault Mode","Rush Blade","PHY","Single enemy","Physical","-","Earth, Dark, NE","0.01","Randomly deals four (30%), five (40%) or six (30%) single attacks (0.40 each), 100% hit rate","Y","Lowest HP% enemy","0","Spellblade","30544023"
"Shard Smasher Follow-Up","Shard Smasher","PHY","Single enemy","Physical","1.80","Ice, NE","0.01","Four single attacks (0.45 each), 100% hit rate","Y","Lowest HP% enemy","0","Monk","30548227"
"Debuff Shot Follow-Up","Fire Debuff Shot","NAT","Single enemy","","","","0.01","Causes [Imperil Fire 10%] for 15 seconds","Y","Lowest HP% enemy","0","Machinist","30549152"
