"ID","Common Name","Effects","Default Duration","MND Modifier","Exclusive Status"
"259","HP Stock (X)","Automatically restores HP, up to X HP","-","-","-"
"25901","HP Stock (2000)","Automatically restores HP, up to 2000 HP","-","-","-"
"25902","HP Stock (6000)","Automatically restores HP, up to 6000 HP","-","-","-"
"25903","HP Stock (3000)","Automatically restores HP, up to 3000 HP","-","-","-"
"25904","HP Stock (1000)","Automatically restores HP, up to 1000 HP","-","-","-"
"25905","HP Stock (4000)","Automatically restores HP, up to 4000 HP","-","-","-"
"25906","HP Stock (500)","Automatically restores HP, up to 500 HP","-","-","-"
"25907","HP Stock (1500)","Automatically restores HP, up to 1500 HP","-","-","-"
"25908","HP Stock (400)","Automatically restores HP, up to 400 HP","-","-","-"
"25909","HP Stock (800)","Automatically restores HP, up to 800 HP","-","-","-"
"25910","HP Stock (1200)","Automatically restores HP, up to 1200 HP","-","-","-"
"25911","HP Stock (1600)","Automatically restores HP, up to 1600 HP","-","-","-"
"25912","HP Stock (10000)","Automatically restores HP, up to 10000 HP","-","-","-"
"260","Radiant Shield: 100%","Returns all the damage taken to the attacker","30","-","-"
"261","Last Stand","Prevents KO once, restoring HP for 1% maximum HP","-","-","-"
"26100","Fire Stoneskin: 100%","Reduces Fire damage taken to 0, up to an amount equal to 100% of the character's maximum HP","-","-","-"
"26101","Ice Stoneskin: 100%","Reduces Ice damage taken to 0, up to an amount equal to 100% of the character's maximum HP","-","-","-"
"26102","Lightning Stoneskin: 100%","Reduces Lightning damage taken to 0, up to an amount equal to 100% of the character's maximum HP","-","-","-"
"26103","Earth Stoneskin: 100%","Reduces Earth damage taken to 0, up to an amount equal to 100% of the character's maximum HP","-","-","-"
"26104","Wind Stoneskin: 100%","Reduces Wind damage taken to 0, up to an amount equal to 100% of the character's maximum HP","-","-","-"
"26105","Water Stoneskin: 100%","Reduces Water damage taken to 0, up to an amount equal to 100% of the character's maximum HP","-","-","-"
"26106","Holy Stoneskin: 100%","Reduces Holy damage taken to 0, up to an amount equal to 100% of the character's maximum HP","-","-","-"
"26107","Dark Stoneskin: 100%","Reduces Dark damage taken to 0, up to an amount equal to 100% of the character's maximum HP","-","-","-"
"26108","Poison Stoneskin: 100%","Reduces Poison damage taken to 0, up to an amount equal to 100% of the character's maximum HP","-","-","-"
"26116","Holy Stoneskin: 50%","Reduces Holy damage taken to 0, up to an amount equal to 50% of the character's maximum HP","-","-","-"
"262","Greased Lightning 1","ATK +15%, cast speed x1.33, removed upon taking damage","-","-","-"
"263","Greased Lightning 2","ATK +30%, cast speed x2.00, removed upon taking damage","-","-","Greased Lightning 1"
"264","Greased Lightning 3","ATK +50%, cast speed x4.00, removed upon taking damage","-","-","Greased Lightning 1, Greased Lightning 2"
"265","Stoneskin: 30%","Reduces damage taken to 0, up to an amount of damage equal to 30% of the character's maximum HP","-","-","-"
"26500","Fire Stoneskin: Magicite 30%","Reduces Fire damage taken to 0, up to an amount equal to 30% of the Magicite's maximum HP","-","-","-"
"26501","Ice Stoneskin: Magicite 30%","Reduces Ice damage taken to 0, up to an amount equal to 30% of the Magicite's maximum HP","-","-","-"
"26502","Lightning Stoneskin: Magicite 30%","Reduces Lightning damage taken to 0, up to an amount equal to 30% of the Magicite's maximum HP","-","-","-"
"26503","Earth Stoneskin: Magicite 30%","Reduces Earth damage taken to 0, up to an amount equal to 30% of the Magicite's maximum HP","-","-","-"
"26504","Wind Stoneskin: Magicite 30%","Reduces Wind damage taken to 0, up to an amount equal to 30% of the Magicite's maximum HP","-","-","-"
"26505","Water Stoneskin: Magicite 30%","Reduces Water damage taken to 0, up to an amount equal to 30% of the Magicite's maximum HP","-","-","-"
"26506","Holy Stoneskin: Magicite 30%","Reduces Holy damage taken to 0, up to an amount equal to 30% of the Magicite's maximum HP","-","-","-"
"26507","Dark Stoneskin: Magicite 30%","Reduces Dark damage taken to 0, up to an amount equal to 30% of the Magicite's maximum HP","-","-","-"
"26508","Poison Stoneskin: Magicite 30%","Reduces Poison damage taken to 0, up to an amount equal to 30% of the Magicite's maximum HP","-","-","-"
"26509","Enemy Physical Stoneskin: 30000","Reduces damage taken from PHY attacks to 0, up to 30000 damage","25","-","-"
"266","Summon Valefor","Affects certain Burst Commands, removed if the user hasn't Burst Mode","-","-","All other ""Summoning Strike"" status"
"266003","Summon Alexander","Affects certain Burst Commands, removed if the user hasn't Burst Mode","-","-","All other ""Summoning Strike"" status"
"266004","Summon Ramuh","Affects certain Burst Commands, removed if the user hasn't Burst Mode","-","-","All other ""Summoning Strike"" status"
"266005","Summon Famfrit","Affects certain Burst Commands, removed if the user hasn't Burst Mode","-","-","All other ""Summoning Strike"" status"
"266006","Summon Ifrit","Affects certain Burst Commands, removed if the user hasn't Burst Mode","-","-","All other ""Summoning Strike"" status"
"266007","Countrymen","Affects certain Burst Commands, removed if the user hasn't Burst Mode","-","-","All other ""Summoning Strike"" status"
"266008","Wings of White","Affects certain Burst Commands, removed if the user hasn't Burst Mode","-","-","All other ""Summoning Strike"" status"
"267","Critical Damage +X%","Critical hits deal X% more damage (additive with the base critical coefficient)","25","-","-"
"26701","Critical Damage +50%","Critical hits deal 50% more damage (additive with the base critical coefficient)","25","-","-"
"26702","Critical Damage +50% 1","Critical hits deal 50% more damage (additive with the base critical coefficient), lasts for 1 turn","-","-","-"
"26703","Critical Damage +50% 2","Critical hits deal 50% more damage (additive with the base critical coefficient), lasts for 2 turns","-","-","-"
"26704","Critical Damage +50% 3","Critical hits deal 50% more damage (additive with the base critical coefficient), lasts for 3 turns","-","-","-"
"268","Thunder God's Might","Cast speed x3.00","25","-","-"
"269","Unbound Fury","DEF and RES -40%, cast speed x2.00","25","-","-"
"270","Summon Shadow Dragon","Affects certain Burst Commands, removed if the user hasn't Burst Mode, reset upon refreshing Burst Mode","-","-","All other ""Summoning Strike"" status"
"271","Astra","Prevents Poison, Silence, Paralyze, Confuse, Slow, Stop, Blind, Sleep, Petrify, Berserk, Sap and Stun once","25","-","Pre-Dispel"
"27101","Pre-Dispel","Prevents Haste, Protect, Shell, Reflect, Low Regen, Medium Regen, High Regen, Regenga and Triple once","25","-","Astra"
"272","Perma-Protect","DEF +100% (ignoring the buff stacking caps)","-","-","Protect"
"273","Perma-Regen","Heals for 5% max HP every 2.50 seconds","-","-","Low Regen, Medium Regen, High Regen, Poison, Sap, Zombie, Regenga"
"274","Heals +30%","Increases healing done by WHT abilities and soulbreaks by 30%","10","-","-"
"275","[Stats] +X% for Next Damaging Action","[Stats] +X%, removed upon dealing damage","-","-","-"
"276","EX: Soldier","Increases physical damage dealt by 30%, sets the damage cap for PHY attacks to 99999","15","-","-"
"277","Terra Trance","ATK, DEF, MAG, RES, MND, ACC and EVA +20%, cast speed x2.00","25","-","-"
"278","Zidane Trance","ATK, DEF, MAG, RES, MND, ACC, EVA and SPD +15%, cast speed x9999999 for Thief abilities","25","-","-"
"279","Play Rough Mode","MAG +30%, DEF and RES -30%, cast speed x3.00","25","-","-"
"280","Dual Blink 2","Evades the next two attacks that could be evaded with Physical or Magical Blink, lower priority","-","-","Dual Blink 1"
"28001","Radiant Shield: 125%","Returns 125% of the damage taken to the attacker","30","-","-"
"28002","Radiant Shield: 150%","Returns 150% of the damage taken to the attacker","30","-","-"
"28003","Radiant Shield: 175%","Returns 175% of the damage taken to the attacker","30","-","-"
"28004","Radiant Shield: 200%","Returns 200% of the damage taken to the attacker","30","-","-"
"28005","Radiant Shield: 225%","Returns 225% of the damage taken to the attacker","30","-","-"
"28006","Radiant Shield: 250%","Returns 250% of the damage taken to the attacker","30","-","-"
"28007","Radiant Shield: 275%","Returns 275% of the damage taken to the attacker","30","-","-"
"28008","Radiant Shield: 300%","Returns 300% of the damage taken to the attacker","30","-","-"
"28101","Water Radiant Shield: 75%","Returns 75% of the damage taken to the attacker as Water damage","30","-","-"
"282","Spellblade +15% Boost 2","Spellblade abilities deal 15% more damage, lasts for 2 turns","-","-","-"
"282001","Spellblade +15% Boost 3","Spellblade abilities deal 15% more damage, lasts for 3 turns","-","-","-"
"282002","Dragoon +9% Boost 3","Dragoon abilities deal 9% more damage, lasts for 3 turns","-","-","-"
"282003","Sharpshooter +15% Boost 3","Sharpshooter abilities deal 15% more damage, lasts for 3 turns","-","-","-"
"282004","Knight +15% Boost 3","Knight abilities deal 15% more damage, lasts for 3 turns","-","-","-"
"282005","Darkness +15% Boost 3","Darkness abilities deal 15% more damage, lasts for 3 turns","-","-","-"
"282006","Jump +15% Boost 3","Jump attacks deal 15% more damage, lasts for 3 turns","-","-","-"
"282007","White Magic +15% Boost 3","White Magic abilities deal 15% more damage, lasts for 3 turns","-","-","-"
"282008","Monk +15% Boost 3","Monk abilities deal 15% more damage, lasts for 3 turns","-","-","-"
"282009","Heavy +15% Boost 3","Heavy abilities deal 15% more damage, lasts for 3 turns","-","-","-"
"28201","Ice Radiant Shield: 75%","Returns 75% of the damage taken to the attacker as Ice damage","30","-","-"
"282010","Dark +30% Boost 1","Dark attacks deal 30% more damage, lasts for 1 turn","-","-","-"
"282011","Black Magic +15% Boost 3","Black Magic abilities deal 15% more damage, lasts for 3 turns","-","-","-"
"282012","Samurai +15% Boost 2","Samurai abilities deal 15% more damage, lasts for 2 turns","-","-","-"
"282013","Dragoon +30% Boost 1","Dragoon abilities deal 30% more damage, lasts for 1 turn","-","-","-"
"282014","Black Magic +50% Boost 2","Black Magic abilities deal 50% more damage, lasts for 2 turns","-","-","-"
"282015","Magical +70% Boost 1","Magical attacks deal 70% more damage, lasts for 1 turn","-","-","-"
"282016","Monk +30% Boost 3","Monk abilities deal 30% more damage, lasts for 3 turns","-","-","-"
"282017","Sharpshooter +30% Boost 3","Sharpshooter abilities deal 30% more damage, lasts for 3 turns","-","-","-"
"282018","Fire Ability +30% Boost 1","Fire abilities deal 30% more damage, lasts for 1 turn","-","-","-"
"282019","Spellblade +30% Boost 1","Spellblade abilities deal 30% more damage, lasts for 1 turn","-","-","-"
"282020","Spellblade +30% Boost 3","Spellblade abilities deal 30% more damage, lasts for 3 turns","-","-","-"
"282021","Darkness +30% Boost 1","Darkness abilities deal 30% more damage, lasts for 1 turn","-","-","-"
"282022","Ninja +30% Boost 3","Ninja abilities deal 30% more damage, lasts for 3 turns","-","-","-"
"282023","Monk +30% Boost 1","Monk abilities deal 30% more damage, lasts for 1 turn","-","-","-"
"282024","Water Ability +30% Boost 1","Water abilities deal 30% more damage, lasts for 1 turn","-","-","-"
"282025","Dragoon +15% Boost 1","Dragoon abilities deal 15% more damage, lasts for 1 turn","-","-","-"
"282026","Knight +30% Boost 1","Knight abilities deal 30% more damage, lasts for 1 turn","-","-","-"
"282027","Samurai +30% Boost 1","Samurai abilities deal 30% more damage, lasts for 1 turn","-","-","-"
"282028","Witch +30% Boost 1","Witch abilities deal 30% more damage, lasts for 1 turn","-","-","-"
"282029","Summoning +30% Boost 1","Summoning abilities deal 30% more damage, lasts for 1 turn","-","-","-"
"282030","Spellblade +50% Boost 2","Spellblade abilities deal 50% more damage, lasts for 2 turns","-","-","-"
"282031","Samurai +30% Boost 2","Samurai abilities deal 30% more damage, lasts for 2 turns","-","-","-"
"28215","Overflow Ice Radiant Shield: 500% (8s)","Returns 500% of the damage taken to the attacker as Ice damage capped at 99999","8","-","-"
"282101","Darkness +30% Boost","Darkness abilities deal 30% more damage","15","-","-"
"282102","Summoning +30% Boost","Summoning abilities deal 30% more damage","15","-","-"
"282103","Knight Extended +15% Boost","Knight abilities deal 15% more damage","25","-","-"
"282104","Spellblade +30% Boost","Spellblade abilities deal 30% more damage","15","-","-"
"282105","Knight +30% Boost","Knight abilities deal 30% more damage","15","-","-"
"282106","Black Magic +30% Boost","Black Magic abilities deal 30% more damage","15","-","-"
"282107","Ninja +30% Boost","Ninja abilities deal 30% more damage","15","-","-"
"282108","Celerity/Spellblade +30% Boost","Celerity and Spellblade abilities deal 30% more damage","15","-","-"
"282109","Weakness +30% Boost","Increases damage dealt by 30% when exploiting elemental weaknesses","15","-","-"
"282110","Holy +50% Boost","Increases Holy damage dealt by 50%","15","-","-"
"282111","Black Magic +15% Boost","Black Magic abilities deal 15% more damage","15","-","-"
"282112","Celerity/Spellblade +15% Boost","Celerity and Spellblade abilities deal 15% more damage","15","-","-"
"282113","White Magic +15% Boost","White Magic abilities deal 15% more damage","15","-","-"
"282114","White Magic +30% Boost","White Magic abilities deal 30% more damage","15","-","-"
"282115","Combat +15% Boost","Combat abilities deal 15% more damage","15","-","-"
"282116","Combat +30% Boost","Combat abilities deal 30% more damage","15","-","-"
"282117","Support +15% Boost","Support abilities deal 15% more damage","15","-","-"
"282118","Support +30% Boost","Support abilities deal 30% more damage","15","-","-"
"282119","Dragoon +15% Boost","Dragoon abilities deal 15% more damage","15","-","-"
"282120","Dragoon +30% Boost","Dragoon abilities deal 30% more damage","15","-","-"
"282121","Monk +15% Boost","Monk abilities deal 15% more damage","15","-","-"
"282122","Monk +30% Boost","Monk abilities deal 30% more damage","15","-","-"
"282123","Thief +15% Boost","Thief abilities deal 15% more damage","15","-","-"
"282124","Thief +30% Boost","Thief abilities deal 30% more damage","15","-","-"
"282125","Samurai +15% Boost","Samurai abilities deal 15% more damage","15","-","-"
"282126","Samurai +30% Boost","Samurai abilities deal 30% more damage","15","-","-"
"282127","Ninja +15% Boost","Ninja abilities deal 15% more damage","15","-","-"
"282128","Darkness +15% Boost","Darkness abilities deal 15% more damage","15","-","-"
"282129","Bard +15% Boost","Bard abilities deal 15% more damage","15","-","-"
"282130","Bard +30% Boost","Bard abilities deal 30% more damage","15","-","-"
"282131","Dancer +15% Boost","Dancer abilities deal 15% more damage","15","-","-"
"282132","Dancer +30% Boost","Dancer abilities deal 30% more damage","15","-","-"
"282133","Machinist +15% Boost","Machinist abilities deal 15% more damage","15","-","-"
"282134","Machinist +30% Boost","Machinist abilities deal 30% more damage","15","-","-"
"282135","Sharpshooter +15% Boost","Sharpshooter abilities deal 15% more damage","15","-","-"
"282136","Sharpshooter +30% Boost","Sharpshooter abilities deal 30% more damage","15","-","-"
"282137","Witch +15% Boost","Witch abilities deal 15% more damage","15","-","-"
"282138","Witch +30% Boost","Witch abilities deal 30% more damage","15","-","-"
"282139","Heavy +15% Boost","Heavy abilities deal 15% more damage","15","-","-"
"282140","Heavy +30% Boost","Heavy abilities deal 30% more damage","15","-","-"
"282141","Spellblade +15% Boost","Spellblade abilities deal 15% more damage","15","-","-"
"282142","Summon +15% Boost","Summoning abilities deal 15% more damage","15","-","-"
"282143","Summoning +15% Boost 3","Summoning abilities deal 15% more damage, lasts for 3 turns","-","-","-"
"282144","Combat +15% Boost 3","Combat abilities deal 15% more damage, lasts for 3 turns","-","-","-"
"282145","Support +15% Boost 3","Support abilities deal 15% more damage, lasts for 3 turns","-","-","-"
"282146","Celerity +15% Boost 3","Celerity abilities deal 15% more damage, lasts for 3 turns","-","-","-"
"282147","Dragoon +15% Boost 3","Dragoon abilities deal 15% more damage, lasts for 3 turns","-","-","-"
"282148","Thief +15% Boost 3","Thief abilities deal 15% more damage, lasts for 3 turns","-","-","-"
"282149","Samurai +15% Boost 3","Samurai abilities deal 15% more damage, lasts for 3 turns","-","-","-"
"282150","Ninja +15% Boost 3","Ninja abilities deal 15% more damage, lasts for 3 turns","-","-","-"
"282151","Bard +15% Boost 3","Bard abilities deal 15% more damage, lasts for 3 turns","-","-","-"
"282152","Dancer +15% Boost 3","Dancer abilities deal 15% more damage, lasts for 3 turns","-","-","-"
